location_id,address_1,address_2,city,state,zip,county,location_source_value,country_concept_id,country_source_value,latitude,longitude
1,,,,,,,S01013490,4072900,GBR,55.9486,-3.1999
2,,,,,,,S01013497,4072900,GBR,55.9364,-3.1832
3,,,,,,,S01013491,4072900,GBR,55.975,-3.1706
4,,,,,,,S01013492,4072900,GBR,55.96,-3.21
5,,,,,,,S01013493,4072900,GBR,55.9271,-3.2101
6,,,,,,,S01013494,4072900,GBR,55.9539,-3.1097
7,,,,,,,S01013495,4072900,GBR,55.9426,-3.2867
8,,,,,,,S01013496,4072900,GBR,55.942,-3.0552
9,,,,,,,S01013498,4072900,GBR,55.8642,-4.2518
10,,,,,,,S01013499,4072900,GBR,56.462,-2.9707
11,,,,,,,S01013500,4072900,GBR,57.1497,-2.0943
12,,,,,,,S01013501,4072900,GBR,51.5074,-0.1278
13,,,,,,,DK00001,4330435,DNK,55.6761,12.5683
14,,,,,,,DK00002,4330435,DNK,56.1629,10.2039
15,,,,,,,DK00003,4330435,DNK,55.4038,10.4024
16,,,,,,,S01013502,4072900,GBR,,
17,,,,,,,S01013503,4072900,GBR,,
18,,,,,,,S01013504,4072900,GBR,56.1165,-3.9369
19,,,,,,,S01013505,4072900,GBR,56.395,-3.4308
20,,,,,,,S01013506,4072900,GBR,55.997,-3.783
